# %ECSV 1.0
# ---
# datatype:
# - {name: t_mjd, datatype: float64}
# - {name: t_bjd, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: ivisit, datatype: float64}
# - {name: iorbit, datatype: float64}
# - {name: scan, datatype: float64}
# - {name: spec_opt, datatype: float64}
# - {name: var_opt, datatype: float64}
# - {name: spec_box, datatype: float64}
# - {name: var_box, datatype: float64}
# schema: astropy-2.0
t_mjd t_bjd t_visit t_orbit ivisit iorbit scan spec_opt var_opt spec_box var_box
59455.276747359996 2459455.7819713065 106.32930256426334 11.18284285068512 0.0 1.0 1.0 664355047.402832 680348105.2734375 663832297.5869141 682867422.2070312
59455.27745347 2459455.7826773897 107.34606228768826 12.199602574110031 0.0 1.0 0.0 664047026.4873047 680001068.6601562 663557363.5053711 682556273.6328125
59455.278159395 2459455.7833832866 108.36255379021168 13.216094076633453 0.0 1.0 1.0 664364924.2163086 680433825.078125 663843927.2275391 683040237.2460938
59455.27886551 2459455.784089373 109.37931820750237 14.232858493924141 0.0 1.0 0.0 664061341.7460938 680059913.4296875 663576340.4960938 682615021.515625
59455.27957143 2459455.784795263 110.39579965174198 15.249339938163757 0.0 1.0 1.0 664278996.1274414 680235427.6835938 663762196.6196289 682775572.78125
59455.280277544996 2459455.7855013474 111.41256138682365 16.26610167324543 0.0 1.0 0.0 664067034.3457031 680088634.765625 663569374.4614258 682700985.3203125
59455.28098347 2459455.78620724 112.4290468543768 17.28258714079857 0.0 1.0 1.0 664309086.4785156 680261852.3164062 663804701.6777344 682799898.9453125
59455.281689580006 2459455.7869133176 113.44579853117466 18.299338817596436 0.0 1.0 0.0 663885788.4331055 679901785.0273438 663402356.2797852 682550895.0039062
59455.28239551 2459455.7876192136 114.46228869259357 19.31582897901535 0.0 1.0 1.0 664149114.5957031 680134586.7578125 663624979.4975586 682681832.3515625
59455.283101615 2459455.7883252837 115.47902964055538 20.332569926977158 0.0 1.0 0.0 663989548.2358398 679952759.4492188 663506030.6845703 682516746.5078125
59455.283807545 2459455.7890311778 116.49551711976528 21.349057406187057 0.0 1.0 1.0 664171191.8017578 680126622.3046875 663648504.4116211 682657804.9765625
59455.284513655 2459455.789737251 117.51226276159286 22.36580304801464 0.0 1.0 0.0 663916043.5083008 679935159.8671875 663431970.7216797 682581509.40625
