# %ECSV 1.0
# ---
# datatype:
# - {name: nspectra, datatype: float64}
# - {name: t_mjd, datatype: float64}
# - {name: numoutliers, datatype: float64}
# - {name: skymedian, datatype: float64}
# - {name: '# nans', datatype: float64}
# schema: astropy-2.0
nspectra t_mjd numoutliers skymedian "# nans"
255.0 59455.60408551 30.0 24.862808227539062 0.0
256.0 59455.60479143 36.0 30.227825164794922 0.0
257.0 59455.605497545 29.0 24.97869873046875 0.0
258.0 59455.60620347 37.0 31.782508850097656 0.0
259.0 59455.606909580005 27.0 24.822071075439453 0.0
260.0 59455.60761551 37.0 27.59408187866211 0.0
261.0 59455.608321615 29.0 24.74407958984375 0.0
262.0 59455.609027545 43.0 29.32232666015625 0.0
263.0 59455.60973347 28.0 27.37358283996582 0.0
264.0 59455.61043958 38.0 31.44974708557129 0.0
265.0 59455.611145695 28.0 23.156980514526367 0.0
266.0 59455.611851615 41.0 29.828893661499023 0.0
267.0 59455.612557545 23.0 21.437118530273438 0.0
268.0 59455.613263655 41.0 32.256107330322266 0.0
269.0 59455.613969765 29.0 22.802427291870117 0.0
270.0 59455.614675695004 34.0 28.849597930908203 0.0
271.0 59455.6153818 24.0 24.834999084472656 0.0
272.0 59455.61608773 37.0 28.972280502319336 0.0
273.0 59455.61679384 23.0 24.494449615478516 0.0
274.0 59455.617499765 39.0 27.8802547454834 0.0
275.0 59455.618205880004 26.0 23.181991577148438 0.0
276.0 59455.618911800004 42.0 28.938034057617188 0.0
277.0 59455.619617915 24.0 24.863788604736328 0.0
278.0 59455.62032384 43.0 29.327402114868164 0.0
279.0 59455.621029949994 26.0 23.728023529052734 0.0
280.0 59455.621735880006 40.0 28.817428588867188 0.0
281.0 59455.622441985004 23.0 24.55545997619629 0.0
282.0 59455.623147915 38.0 29.904766082763672 0.0
283.0 59455.62385384 27.0 26.47276496887207 0.0
284.0 59455.624559949996 37.0 28.96710777282715 0.0
285.0 59455.625266065 27.0 24.018096923828125 0.0
