================== ==================
        time_model         flux_model
2459684.3035488445                1.0
 2459684.305560074                1.0
2459684.3075713036                1.0
 2459684.309582533                1.0
 2459684.311593762                1.0
2459684.3136049914                1.0
 2459684.315616221                1.0
2459684.3176274505                1.0
2459684.3196386797                1.0
 2459684.321649909                1.0
 2459684.323661139                1.0
 2459684.325672368                1.0
2459684.3276835973                1.0
2459684.3296948266                1.0
 2459684.331706056                1.0
2459684.3337172857                1.0
 2459684.335728515                1.0
 2459684.337739744                1.0
2459684.3397509735                1.0
2459684.3417622033                1.0
2459684.3437734325                1.0
 2459684.345784662                1.0
 2459684.347795891                1.0
 2459684.349807121                1.0
  2459684.35181835                1.0
2459684.3538295794                1.0
2459684.3558408087                1.0
2459684.3578520385                1.0
2459684.3598632677                1.0
 2459684.361874497                1.0
2459684.3638857263                1.0
 2459684.365896956                1.0
2459684.3679081853                1.0
2459684.3699194146                1.0
 2459684.371930644                1.0
2459684.3739418737                1.0
 2459684.375953103                1.0
2459684.3779643322                1.0
2459684.3799755615                1.0
2459684.3819867913                1.0
2459684.3839980206                1.0
  2459684.38600925                1.0
 2459684.388020479                1.0
 2459684.390031709                1.0
 2459684.392042938                1.0
2459684.3940541674                1.0
2459684.3960653967                1.0
 2459684.398076626                1.0
2459684.4000878558                1.0
 2459684.402099085                1.0
2459684.4041103143                1.0
2459684.4061215436                1.0
2459684.4081327734                1.0
2459684.4101440026                1.0
 2459684.412155232                1.0
 2459684.414166461                1.0
 2459684.416177691                1.0
2459684.4181889202                1.0
2459684.4202001495                1.0
 2459684.422211379                1.0
2459684.4242226086                1.0
 2459684.426233838                1.0
 2459684.428245067                1.0
2459684.4302562964                1.0
 2459684.432267526                1.0
2459684.4342787554                1.0
2459684.4362899847                1.0
 2459684.438301214                1.0
2459684.4403124438                1.0
 2459684.442323673                1.0
2459684.4443349023                1.0
2459684.4463461316                1.0
2459684.4483573614                1.0
2459684.4503685907                1.0
  2459684.45237982                1.0
 2459684.454391049                1.0
 2459684.456402279                1.0
2459684.4584135083                1.0
2459684.4604247375                1.0
 2459684.462435967                1.0
 2459684.464447196                1.0
 2459684.466458426                1.0
 2459684.468469655                1.0
2459684.4704808844                1.0
2459684.4724921137                1.0
2459684.4745033435                1.0
2459684.4765145727                1.0
 2459684.478525802                1.0
2459684.4805370313                1.0
 2459684.482548261                1.0
2459684.4845594903                1.0
2459684.4865707196                1.0
 2459684.488581949                1.0
2459684.4905931787                1.0
 2459684.492604408                1.0
 2459684.494615637                1.0
2459684.4966268665                1.0
2459684.4986380963                1.0
2459684.5006493255                1.0
 2459684.502660555                1.0
 2459684.504671784                1.0
 2459684.506683014                1.0
 2459684.508694243                1.0
2459684.5107054724                1.0
2459684.5127167017                1.0
2459684.5147279315                1.0
2459684.5167391608                1.0
  2459684.51875039                1.0
2459684.5207616193                1.0
 2459684.522772849                1.0
2459684.5247840784                1.0
2459684.5267953076                1.0
 2459684.528806537                1.0
 2459684.530817766                1.0
 2459684.532828996                1.0
2459684.5348402252                1.0
2459684.5368514545                1.0
 2459684.538862684                1.0
2459684.5408739136                1.0
 2459684.542885143                1.0
 2459684.544896372                1.0
2459684.5469076014                1.0
 2459684.548918831                1.0
2459684.5509300604                1.0
2459684.5529412897                1.0
 2459684.554952519                1.0
2459684.5569637488                1.0
 2459684.558974978                1.0
2459684.5609862073                1.0
2459684.5629974366                1.0
2459684.5650086664                1.0
2459684.5670198957                1.0
 2459684.569031125                1.0
 2459684.571042354                1.0
 2459684.573053584                1.0
2459684.5750648133                1.0
2459684.5770760425                1.0
 2459684.579087272                1.0
2459684.5810985016                1.0
 2459684.583109731                1.0
  2459684.58512096                1.0
2459684.5871321894                1.0
 2459684.589143419                1.0
2459684.5911546485                1.0
2459684.5931658777                1.0
 2459684.595177107                1.0
2459684.5971883363                1.0
 2459684.599199566                1.0
2459684.6012107953                1.0
2459684.6032220246                1.0
 2459684.605233254                1.0
2459684.6072444837                1.0
 2459684.609255713                1.0
 2459684.611266942                1.0
2459684.6132781715                1.0
2459684.6152894013                1.0
2459684.6173006305                1.0
  2459684.61931186                1.0
 2459684.621323089                1.0
 2459684.623334319                1.0
 2459684.625345548                1.0
2459684.6273567774                1.0
2459684.6293680067                1.0
2459684.6313792365                1.0
2459684.6333904658                1.0
 2459684.635401695                1.0
2459684.6374129243                1.0
 2459684.639424154                1.0
2459684.6414353834                1.0
2459684.6434466126                1.0
 2459684.645457842                1.0
2459684.6474690717                1.0
 2459684.649480301                1.0
2459684.6514915302                1.0
2459684.6535027595                1.0
2459684.6555139893                1.0
2459684.6575252186                1.0
 2459684.659536448                1.0
 2459684.661547677                1.0
2459684.6635589064                1.0
 2459684.665570136                1.0
2459684.6675813654                1.0
2459684.6695925947                1.0
